BANK,IFSC,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0POR053,POR,"GROUND FLOOR,SWAMINARAYAN COMPLEX,BLOCK NO 83,AMBICA NAGAR SOCIETY,POR-KAYAVAROHAN ROAD,POR-391243",2830321,VADODARA,VADODARA,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0PCV013,PANCHVATI,"SUN POINT SHANTISADAN SOC,NR. PARIMAL GARDEN, ELLIS BRIDGE, AHMEDABAD-380006",26444952,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0PCR011,PATRAKAR COLONY,"ANKUR COMMERCIAL CENTRE, NR.ANKUR BUS STAND,NARANPURA, AHMEDABAD-380013",27433028,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0NVW016,NAVA WADAJ,"NEEL COMPLEX, OPP.VYAS WADI, NAVA WADAJ,┬áAHMEDABAD-380013",27646976,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0NRM097,NIRMA UNIVERSITY,"NIRMA INSTITUTE OF TECHNOLOGY,SGHIGHWAY,CHHARODI",,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0NPR044,ANAND MAHAL ROAD,"MADHAV COMPLEX, NEW RANCHHOD NAGAR, OPP.PRIME ARCADE, ANAND MAHAL ROAD, ADAJAN,SURAT-395009",2462848,SURAT,SURAT,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0NAR050,NARODA,"GROUND FLOOR 7,8,9 AASHTHA AVENUE,NEAR BSNL TELE. EXCHANGE,GIDC,NARODA,AHMEDABAD-382330",22812120,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0MNN025,MANINAGAR,"39, RADHA VALLABH COLONY NR. DURGA SCHOOL,┬áJAWAHAR CHOWK CHAR RASTA MANINAGAR,┬áAHMEDABAD ┬û 380008┬á",25452004,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0MJL036,MANJALPUR - VADODARA,"1,2,3, VINAYAK COMPLEX, NR. SARASWATI CHAR RASTA, MANJALPUR ROAD, VADODARA-390011",2661751,VADODARA,VADODARA,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0MDR030,MADHUPURA,"NILGAGAN PLAZA, OPP. POLICE COMMISSIONER'S OFFICE, SHAHIBAUG ROAD, MADHUPURA, AHMEDABAD - 380 004.",25626699,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0KTW039,KATHWADA,"PLOT NO - 545,DIVYA MANGAL ARCAD,KATHWADA GIDC,AHMEDABAD - 382430",65218442,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0KMD002,KHOKHARA,"NEW GRAIN MARKET, OPP. ANUPAM CINEMA, KHOKHRA MAHEMDABAD,┬áAHMEDABAD - 380008",22162778,AHMEDABAD,AHMEDABAD,GUJARAT
KALUPUR COMMERCIAL COOPERATIVE BANK,KCCB0KMB027,KHAMBHAT,"NIJANANDA,NR. DR.COMPLEX,┬áSTATION ROAD, KHAMBHAT┬á, TALUKA: KHAMBHAT, DIST : ANAND-388620",223644,KHAMBHAT,ANAND,GUJARAT
